id,type,name,params_len,argument_len,returns,start_line,start_column,end_line,end_column,file_name,file_is_index_or_test,new_id
1,Program,nan,-1,-1,-1,1,0,176,16,packages\ansi-html\index.js,1,0
4,VariableDeclaration,nan,-1,-1,-1,6,0,6,101,packages\ansi-html\index.js,1,1
5,VariableDeclaration,nan,-1,-1,-1,8,0,19,1,packages\ansi-html\index.js,1,2
6,VariableDeclaration,nan,-1,-1,-1,20,0,29,1,packages\ansi-html\index.js,1,3
7,VariableDeclaration,nan,-1,-1,-1,30,0,37,1,packages\ansi-html\index.js,1,4
8,VariableDeclaration,nan,-1,-1,-1,38,0,44,1,packages\ansi-html\index.js,1,5
10,FunctionDeclaration,nan,-1,1,1,53,0,89,1,packages\ansi-html\index.js,1,6
14,IfStatement,nan,-1,-1,-1,147,0,157,1,packages\ansi-html\index.js,1,7
15,FunctionDeclaration,nan,-1,1,0,159,0,174,1,packages\ansi-html\index.js,1,8
18,AssignmentExpression,nan,-1,-1,-1,3,0,3,25,packages\ansi-html\index.js,1,9
19,CallExpression,nan,1,-1,-1,44,1,46,2,packages\ansi-html\index.js,1,10
20,Identifier,ansiHTML,-1,-1,-1,53,9,53,17,packages\ansi-html\index.js,1,11
21,Identifier,text,-1,-1,-1,53,19,53,23,packages\ansi-html\index.js,1,12
23,BlockStatement,nan,-1,-1,-1,53,25,89,1,packages\ansi-html\index.js,1,13
24,AssignmentExpression,nan,-1,-1,-1,95,0,132,1,packages\ansi-html\index.js,1,14
25,AssignmentExpression,nan,-1,-1,-1,137,0,139,1,packages\ansi-html\index.js,1,15
26,AssignmentExpression,nan,-1,-1,-1,145,0,145,18,packages\ansi-html\index.js,1,16
27,BlockStatement,nan,-1,-1,-1,147,27,154,1,packages\ansi-html\index.js,1,17
28,MemberExpression,nan,-1,-1,-1,147,4,147,25,packages\ansi-html\index.js,1,18
29,Identifier,_setTags,-1,-1,-1,159,9,159,17,packages\ansi-html\index.js,1,19
30,Identifier,colors,-1,-1,-1,159,19,159,25,packages\ansi-html\index.js,1,20
32,BlockStatement,nan,-1,-1,-1,159,27,174,1,packages\ansi-html\index.js,1,21
33,CallExpression,nan,0,-1,-1,176,0,176,16,packages\ansi-html\index.js,1,22
34,MemberExpression,nan,-1,-1,-1,3,0,3,14,packages\ansi-html\index.js,1,23
35,Identifier,ansiHTML,-1,-1,-1,3,17,3,25,packages\ansi-html\index.js,1,24
36,FunctionExpression,nan,-1,1,0,44,37,46,1,packages\ansi-html\index.js,1,25
37,MemberExpression,nan,-1,-1,-1,44,1,44,36,packages\ansi-html\index.js,1,26
38,IfStatement,nan,-1,-1,-1,55,2,57,3,packages\ansi-html\index.js,1,27
39,VariableDeclaration,nan,-1,-1,-1,60,2,60,20,packages\ansi-html\index.js,1,28
40,VariableDeclaration,nan,-1,-1,-1,62,2,82,4,packages\ansi-html\index.js,1,29
41,VariableDeclaration,nan,-1,-1,-1,85,2,86,3,packages\ansi-html\index.js,1,30
43,ReturnStatement,nan,1,-1,-1,88,2,88,12,packages\ansi-html\index.js,1,31
44,MemberExpression,nan,-1,-1,-1,95,0,95,18,packages\ansi-html\index.js,1,32
45,FunctionExpression,nan,-1,1,0,95,21,132,1,packages\ansi-html\index.js,1,33
46,MemberExpression,nan,-1,-1,-1,137,0,137,14,packages\ansi-html\index.js,1,34
47,FunctionExpression,nan,-1,0,0,137,17,139,1,packages\ansi-html\index.js,1,35
48,MemberExpression,nan,-1,-1,-1,145,0,145,13,packages\ansi-html\index.js,1,36
49,ObjectExpression,nan,-1,-1,-1,145,16,145,18,packages\ansi-html\index.js,1,37
55,ForInStatement,nan,-1,-1,-1,167,2,173,3,packages\ansi-html\index.js,1,38
56,MemberExpression,nan,-1,-1,-1,176,0,176,14,packages\ansi-html\index.js,1,39
57,Identifier,n,-1,-1,-1,44,47,44,48,packages\ansi-html\index.js,1,40
